=======================================================================================================================
                                      SNITCH SELLER ACCOUNT TEST CREDENTIALS
=======================================================================================================================

+------+--------------------+-------------------------------------+----------------------+------------------------------+
| ID   | Name               | Email                               | Password             | Shop Name                    |
+------+--------------------+-------------------------------------+----------------------+------------------------------+
| 1    | Aarav Mehta        | aarav.mehta@snitch-seller.com       | SellerPassword1!     | Aarav's Street Hype          |
| 2    | Ananya Sharma      | ananya.sharma@snitch-seller.com     | SellerPassword2!     | Ananya's Vintage Closet      |
| 3    | Kabir Malhotra     | kabir.malhotra@snitch-seller.com    | SellerPassword3!     | Kabir's Retro Thrifting      |
| 4    | Diya Iyer          | diya.iyer@snitch-seller.com         | SellerPassword4!     | Diya's Kicks & Fits          |
| 5    | Rohan Gupta        | rohan.gupta@snitch-seller.com       | SellerPassword5!     | Rohan's Streetwear Hub       |
| 6    | Isha Verma         | isha.verma@snitch-seller.com        | SellerPassword6!     | Isha's Drip Central          |
| 7    | Reyansh Choudhury  | reyansh.choudhury@snitch-seller.com | SellerPassword7!     | Reyansh's Aesthetic Archive  |
| 8    | Myra Joshi         | myra.joshi@snitch-seller.com        | SellerPassword8!     | Myra's Urban Curations       |
| 9    | Aryan Singh        | aryan.singh@snitch-seller.com       | SellerPassword9!     | Aryan's Thread Lab           |
| 10   | Sanya Kapoor       | sanya.kapoor@snitch-seller.com      | SellerPassword10!    | Sanya's The Resale Room      |
| 11   | Dev Patel          | dev.patel@snitch-seller.com         | SellerPassword11!    | Dev's Hypebeast Vault        |
| 12   | Kiara Rao          | kiara.rao@snitch-seller.com         | SellerPassword12!    | Kiara's Sneaker Sanctum      |
| 13   | Karan Khanna       | karan.khanna@snitch-seller.com      | SellerPassword13!    | Karan's Street Hype          |
| 14   | Avani Nair         | avani.nair@snitch-seller.com        | SellerPassword14!    | Avani's Vintage Closet       |
| 15   | Aditya Sen         | aditya.sen@snitch-seller.com        | SellerPassword15!    | Aditya's Retro Thrifting     |
| 16   | Riya Das           | riya.das@snitch-seller.com          | SellerPassword16!    | Riya's Kicks & Fits          |
| 17   | Vihaan Mishra      | vihaan.mishra@snitch-seller.com     | SellerPassword17!    | Vihaan's Streetwear Hub      |
| 18   | Anika Goel         | anika.goel@snitch-seller.com        | SellerPassword18!    | Anika's Drip Central         |
| 19   | Sid Reddy          | sid.reddy@snitch-seller.com         | SellerPassword19!    | Sid's Aesthetic Archive      |
| 20   | Tanya Bose         | tanya.bose@snitch-seller.com        | SellerPassword20!    | Tanya's Urban Curations      |
| 21   | Neil Fernandez     | neil.fernandez@snitch-seller.com    | SellerPassword21!    | Neil's Thread Lab            |
| 22   | Meera Saxena       | meera.saxena@snitch-seller.com      | SellerPassword22!    | Meera's The Resale Room      |
| 23   | Arjun Bhatia       | arjun.bhatia@snitch-seller.com      | SellerPassword23!    | Arjun's Hypebeast Vault      |
| 24   | Kavya Roy          | kavya.roy@snitch-seller.com         | SellerPassword24!    | Kavya's Sneaker Sanctum      |
| 25   | Yash Singhal       | yash.singhal@snitch-seller.com      | SellerPassword25!    | Yash's Street Hype           |
+------+--------------------+-------------------------------------+----------------------+------------------------------+
